,titulo,preco,quartos,suites,banheiros,vagas,privativos,link,lat,long,numero_rua,bairro,cidade,piscina,gas_central,elevador,salao,academia
288,Apartamento 3 Quartos Fazenda 168m²,3310000.0,3,3,5,3,168,https://maximoveis.com.br/imovel/10855/apartamento-3-quartos-skyline-fazenda-itajai/,-26.9291822,-48.6479907,"Rua Jorge Tzachel, 442",Fazenda,Itajaí/SC,1,0,1,1,1
290,Apartamento 3 Quartos Praia Brava 125m²,2450000.0,3,3,4,2,125,https://maximoveis.com.br/imovel/10689/apartamento-3-quartos-residencial-dusseldorf-praia-brava-itajai/,-26.9529509,-48.634561,"Rua Conselheiro Júlio Kumm, 563",Praia Brava,Itajaí/SC,1,0,1,1,0
291,Apartamento 1 Quarto Vila Operária 40m²,516000.0,1,0,1,1,40,https://maximoveis.com.br/imovel/10325/apartamento-1-quarto-atmos-sky-vila-operaria-itajai/,-26.912963,-48.6713888,"Rua Carlos Seara, 746",Vila Operária,Itajaí/SC,1,0,1,1,1
293,Apartamento 2 Quartos São João 71m²,524703.05,2,1,2,1,71,https://maximoveis.com.br/imovel/10047/apartamento-2-quartos-jardins-de-burle-marx-sao-joao-itajai/,-26.9021362,-48.6844871,"Rua José Pereira Liberato, 1320",São João,Itajaí/SC,1,0,1,1,1
294,Apartamento 2 Quartos Praia Brava 61m²,870000.0,2,1,2,2,61,https://maximoveis.com.br/imovel/12596/apartamento-2-quartos-north-brava-praia-brava-itajai/,-26.9555314,-48.6437829,"Rua Suécia, 421",Praia Brava,Itajaí/SC,1,0,1,1,1
296,Apartamento 3 Quartos Centro 104m²,1052000.0,3,1,3,2,104,https://maximoveis.com.br/imovel/10071/apartamento-3-quartos-monte-solaro-centro-itajai/,-26.9159496,-48.6592326,"Rua Uruguai, 716",Centro,Itajaí/SC,1,0,1,1,1
297,Apartamento 3 Quartos Fazenda 122m²,1047882.41,3,3,4,2,122,https://maximoveis.com.br/imovel/12482/apartamento-3-quartos-provincia-di-salerno-fazenda-itajai/,-26.9320161,-48.6457998,"Rua José Correia, 199",Fazenda,Itajaí/SC,1,0,1,0,1
301,Apartamento 2 Quartos Praia Brava 65m²,850000.0,2,1,2,1,65,https://maximoveis.com.br/imovel/12107/apartamento-2-quartos-privilege-residence-praia-brava-itajai/,-26.9549503,-48.6432367,"Rua Suécia, 286",Praia Brava,Itajaí/SC,1,0,1,1,1
305,Apartamento 2 Quartos Itaipava 44m²,220000.0,2,0,1,1,44,https://maximoveis.com.br/imovel/12710/apartamento-2-quartos-luna-bella-itaipava-itajai/,-26.9434091,-48.7474332,"Rua Maria De Souza Gonçalves, 38",Itaipava,Itajaí/SC,1,0,0,1,0
306,Apartamento 3 Quartos Praia Brava 126m²,2900000.0,3,3,4,2,126,https://maximoveis.com.br/imovel/11945/apartamento-3-quartos-riva-praia-brava-itajai/,-26.9540923,-48.63145220000001,"Rua Delfim Mário Pádua Peixoto, 1540",Praia Brava,Itajaí/SC,1,1,1,1,1
309,Apartamento 2 Quartos Fazenda 86m²,1052982.98,2,2,3,1,86,https://maximoveis.com.br/imovel/12767/apartamento-2-quartos-fazenda-garden-fazenda-itajai/,-26.9200291,-48.6532217,"Avenida Sete De Setembro, 1657",Fazenda,Itajaí/SC,1,0,1,1,1
311,Apartamento 4 Quartos Centro 255m²,2450000.0,4,3,4,2,255,https://maximoveis.com.br/imovel/4244/apartamento-4-quartos-delta-um-centro-itajai/,-26.9082542,-48.655151899999964,"Rua Lauro Muller, 360",Centro,Itajaí/SC,0,0,0,0,0
314,Apartamento 1 Quarto Praia Brava 69m²,800000.0,1,1,1,2,69,https://maximoveis.com.br/imovel/1679/apartamento-1-quarto-maxhaus-praia-brava-praia-brava-itajai/,-26.9398695,-48.6415507,"Rodovia Osvaldo Reis, 2000",Praia Brava,Itajaí/SC,1,0,1,1,1
315,Apartamento 2 Quartos Centro 76m²,720000.0,2,2,3,1,76,https://maximoveis.com.br/imovel/10498/apartamento-2-quartos-maiori-centro-itajai/,-26.9147098,-48.6655161,"Rua Juvenal Garcia, 400",Centro,Itajaí/SC,1,1,1,1,1
316,Apartamento 3 Quartos Fazendinha 162m²,2642358.97,3,3,4,2,162,https://maximoveis.com.br/imovel/10759/apartamento-3-quartos-artefacto-towers-fazendinha-itajai/,-26.9530755,-48.6405651,"Avenida Osvaldo Reis, 3334",Fazendinha,Itajaí/SC,1,0,1,1,1
317,Apartamento 2 Quartos Dom Bosco 73m²,575000.0,2,2,3,1,73,https://maximoveis.com.br/imovel/10776/apartamento-2-quartos-lago-di-lucerna-dom-bosco-itajai/,-26.9199902,-48.6809755,"Rua Esperidião Graciliano Da Silva, 298",Dom Bosco,Itajaí/SC,1,0,1,1,1
319,Apartamento 3 Quartos Praia Brava 163m²,3300000.0,3,3,4,3,163,https://maximoveis.com.br/imovel/9390/apartamento-3-quartos-riva-praia-brava-itajai/,-26.9540923,-48.63145220000001,"Rua Delfim Mário Pádua Peixoto, 1540",Praia Brava,Itajaí/SC,1,1,1,1,1
320,Apartamento 2 Quartos Itaipava 44m²,210000.0,2,0,1,1,44,https://maximoveis.com.br/imovel/12706/apartamento-2-quartos-luna-bella-itaipava-itajai/,-26.9434091,-48.7474332,"Rua Maria De Souza Gonçalves, 38",Itaipava,Itajaí/SC,1,0,0,1,0
